serial_no,title,authors,journal,abstract,publish_date,doi,url,source
1,Towards Smart Healthcare: Challenges and Opportunities in IoT and ML,Munshi Saifuzzaman; Tajkia Nuri Ananna,"Journal reference: IoT and ML for Information Management: A Smart Healthcare Perspective, Studies in Computational Intelligence, Vol. 1169, Springer, 2024","The COVID-19 pandemic and other ongoing health crises have underscored the need for prompt healthcare services worldwide. The traditional healthcare system, centered around hospitals and clinics, has proven inadequate in the face of such challenges. Intelligent wearable devices, a key part of modern healthcare, leverage Internet of Things technology to collect extensive data related to the environment as well as psychological, behavioral, and physical health. However, managing the substantial data generated by these wearables and other IoT devices in healthcare poses a significant challenge, potentially impeding decision-making processes. Recent interest has grown in applying data analytics for extracting information, gaining insights, and making predictions. Additionally, machine learning, known for addressing various big data and networking challenges, has seen increased implementation to enhance IoT systems in healthcare. This chapter focuses exclusively on exploring the hurdles encountered when integrating ML methods into the IoT healthcare sector. It offers a comprehensive summary of current research challenges and potential opportunities, categorized into three scenarios: IoT-based, ML-based, and the implementation of machine learning methodologies in the IoT-based healthcare industry. This compilation will assist future researchers, healthcare professionals, and government agencies by offering valuable insights into recent smart healthcare advancements.",2023-12-09,10.1007/978-981-97-5624-7_10,http://arxiv.org/abs/2312.05530v2,arxiv
2,Introduction to IoT,Tajkia Nuri Ananna; Munshi Saifuzzaman,"In: Namasudra, S. (eds) IoT and ML for Information Management: A Smart Healthcare Perspective. Studies in Computational Intelligence, vol 1169. Springer, Singapore (2024)","The Internet of Things has rapidly transformed the 21st century, enhancing decision-making processes and introducing innovative consumer services such as pay-as-you-use models. The integration of smart devices and automation technologies has revolutionized every aspect of our lives, from health services to the manufacturing industry, and from the agriculture sector to mining. Alongside the positive aspects, it is also essential to recognize the significant safety, security, and trust concerns in this technological landscape. This chapter serves as a comprehensive guide for newcomers interested in the IoT domain, providing a foundation for making future contributions. Specifically, it discusses the overview, historical evolution, key characteristics, advantages, architectures, taxonomy of technologies, and existing applications in major IoT domains. In addressing prevalent issues and challenges in designing and deploying IoT applications, the chapter examines security threats across architectural layers, ethical considerations, user privacy concerns, and trust-related issues. This discussion equips researchers with a solid understanding of diverse IoT aspects, providing a comprehensive understanding of IoT technology along with insights into the extensive potential and impact of this transformative field.",2023-12-09,10.1007/978-981-97-5624-7_1,http://arxiv.org/abs/2312.06689v2,arxiv
3,Autonomous Low Power IoT System Architecture for Cybersecurity Monitoring,Zag ElSayed; Nelly Elsayed; Chengcheng Li; Magdy Bayoumi,,"Network security morning (NSM) is essential for any cybersecurity system, where the average cost of a cyber attack is 1.1 million. No matter how secure a system, it will eventually fail without proper and continuous monitoring. No wonder that the cybersecurity market is expected to grow up to $170.4 billion in 2022. However, the majority of legacy industries do not invest in NSM implementation until it is too late due to the initial and operation costs and static unutilized resources. Thus, this paper proposes a novel dynamic Internet of things (IoT) architecture for an industrial NSM that features a low installation and operation cost, low power consumption, intelligent organization behavior, and environmentally friendly operation. As a case study, the system is implemented in a mid-range oil a gas manufacturing facility in the southern states with more than 300 machines and servers over three remote locations and a production plant that features a challenging atmosphere condition. The proposed system successfully shows a significant saving (>65%) in power consumption, acquires one-tenth of the installation cost, develops an intelligent operation expert system tool as well as saves the environment from more than 500mg of CO2 pollution per hour, promoting green IoT systems.",2021-06-01,,http://arxiv.org/abs/2106.00834v4,arxiv
4,Security for the Industrial IoT: The Case for Information-Centric Networking,Michael Frey; Cenk Gündoğan; Peter Kietzmann; Martine Lenders; Hauke Petersen; Thomas C. Schmidt; Felix Shzu-Juraschek; Matthias Wählisch,"Proceedings of the IEEE World Forum on Internet of Things (WF-IoT), 2019","Industrial production plants traditionally include sensors for monitoring or documenting processes, and actuators for enabling corrective actions in cases of misconfigurations, failures, or dangerous events. With the advent of the IoT, embedded controllers link these `things' to local networks that often are of low power wireless kind, and are interconnected via gateways to some cloud from the global Internet. Inter-networked sensors and actuators in the industrial IoT form a critical subsystem while frequently operating under harsh conditions. It is currently under debate how to approach inter-networking of critical industrial components in a safe and secure manner.   In this paper, we analyze the potentials of ICN for providing a secure and robust networking solution for constrained controllers in industrial safety systems. We showcase hazardous gas sensing in widespread industrial environments, such as refineries, and compare with IP-based approaches such as CoAP and MQTT. Our findings indicate that the content-centric security model, as well as enhanced DoS resistance are important arguments for deploying Information Centric Networking in a safety-critical industrial IoT. Evaluation of the crypto efforts on the RIOT operating system for content security reveal its feasibility for common deployment scenarios.",2018-10-10,,http://arxiv.org/abs/1810.04645v2,arxiv
5,Marine IoT Systems with Space-Air-Sea Integrated Networks: Hybrid LEO and UAV Edge Computing,Sooyeob Jung; Seongah Jeong; Jinkyu Kang; Joonhyuk Kang,,"Marine Internet of Things (IoT) systems have grown substantially with the development of non-terrestrial networks (NTN) via aerial and space vehicles in the upcoming sixth-generation (6G), thereby assisting environment protection, military reconnaissance, and sea transportation. Due to unpredictable climate changes and the extreme channel conditions of maritime networks, however, it is challenging to efficiently and reliably collect and compute a huge amount of maritime data. In this paper, we propose a hybrid low-Earth orbit (LEO) and unmanned aerial vehicle (UAV) edge computing method in space-air-sea integrated networks for marine IoT systems. Specifically, two types of edge servers mounted on UAVs and LEO satellites are endowed with computational capabilities for the real-time utilization of a sizable data collected from ocean IoT sensors. Our system aims at minimizing the total energy consumption of the battery-constrained UAV by jointly optimizing the bit allocation of communication and computation along with the UAV path planning under latency, energy budget and operational constraints. For availability and practicality, the proposed methods were developed for three different cases according to the accessibility of the LEO satellite, ``Always On,"" ``Always Off"" and ``Intermediate Disconnected"", by leveraging successive convex approximation (SCA) strategies. Via numerical results, we verify that significant energy savings can be accrued for all cases of LEO accessibility by means of joint optimization of bit allocation and UAV path planning compared to partial optimization schemes that design for only the bit allocation or trajectory of the UAV.",2023-01-10,,http://arxiv.org/abs/2301.03815v1,arxiv
6,Privacy-preserving machine learning for healthcare: open challenges and future perspectives,Alejandro Guerra-Manzanares; L. Julian Lechuga Lopez; Michail Maniatakos; Farah E. Shamout,"Trustworthy Machine Learning for Healthcare. TML4H 2023. Lecture Notes in Computer Science, vol 13932","Machine Learning (ML) has recently shown tremendous success in modeling various healthcare prediction tasks, ranging from disease diagnosis and prognosis to patient treatment. Due to the sensitive nature of medical data, privacy must be considered along the entire ML pipeline, from model training to inference. In this paper, we conduct a review of recent literature concerning Privacy-Preserving Machine Learning (PPML) for healthcare. We primarily focus on privacy-preserving training and inference-as-a-service, and perform a comprehensive review of existing trends, identify challenges, and discuss opportunities for future research directions. The aim of this review is to guide the development of private and efficient ML models in healthcare, with the prospects of translating research efforts into real-world settings.",2023-03-27,10.1007/978-3-031-39539-0_3,http://arxiv.org/abs/2303.15563v1,arxiv
7,A Context Aware Framework for IoT Based Healthcare Monitoring Systems,Yousef Abuseta,"International Journal of Advanced Studies in Computer Science and Engineering (ISSN : 2278 7917) , volume 9, issue 7, 2020","This paper introduces an investigation of the healthcare monitoring systems and their provisioning in the IoT platform. The different roles that exist in healthcare systems are specified and modeled here. This paper also attempts to introduce and propose a generic framework for the design and development of context aware healthcare monitoring systems in the IoT platform. In such a framework, the fundamental components of the healthcare monitoring systems are identified and modelled as well as the relationship between these components. The paper also stresses on the crucial role played by the AI field in addressing resilient context aware healthcare monitoring systems. Architecturally, this framework is based on a distributed layered architecture where the different components are deployed over the physical layer, fog platform and the cloud platform.",2020-08-21,,http://arxiv.org/abs/2008.10341v1,arxiv
8,Document Understanding for Healthcare Referrals,Jimit Mistry; Natalia M. Arzeno,2023 IEEE 11th International Conference on Healthcare Informatics (ICHI),"Reliance on scanned documents and fax communication for healthcare referrals leads to high administrative costs and errors that may affect patient care. In this work we propose a hybrid model leveraging LayoutLMv3 along with domain-specific rules to identify key patient, physician, and exam-related entities in faxed referral documents. We explore some of the challenges in applying a document understanding model to referrals, which have formats varying by medical practice, and evaluate model performance using MUC-5 metrics to obtain appropriate metrics for the practical use case. Our analysis shows the addition of domain-specific rules to the transformer model yields greatly increased precision and F1 scores, suggesting a hybrid model trained on a curated dataset can increase efficiency in referral management.",2023-09-22,10.1109/ICHI57859.2023.00067,http://arxiv.org/abs/2309.13184v1,arxiv
9,A Fair and Ethical Healthcare Artificial Intelligence System for Monitoring Driver Behavior and Preventing Road Accidents,Soraia Oueida; Soaad Hossain; Yehia Kotb; Syed Ishtiaque Ahmed,,"This paper presents a new approach to prevent transportation accidents and monitor driver's behavior using a healthcare AI system that incorporates fairness and ethics. Dangerous medical cases and unusual behavior of the driver are detected. Fairness algorithm is approached in order to improve decision-making and address ethical issues such as privacy issues, and to consider challenges that appear in the wild within AI in healthcare and driving. A healthcare professional will be alerted about any unusual activity, and the driver's location when necessary, is provided in order to enable the healthcare professional to immediately help to the unstable driver. Therefore, using the healthcare AI system allows for accidents to be predicted and thus prevented and lives may be saved based on the built-in AI system inside the vehicle which interacts with the ER system.",2021-06-16,10.1007/978-3-030-89880-9_33,http://arxiv.org/abs/2107.14077v2,arxiv
10,"Federated Learning for Healthcare Domain - Pipeline, Applications and Challenges",Madhura Joshi; Ankit Pal; Malaikannan Sankarasubbu,"ACM Transactions on Computing for Healthcare, Vol. 3, No. 4, Article 40. Publication date: October 2022","Federated learning is the process of developing machine learning models over datasets distributed across data centers such as hospitals, clinical research labs, and mobile devices while preventing data leakage. This survey examines previous research and studies on federated learning in the healthcare sector across a range of use cases and applications. Our survey shows what challenges, methods, and applications a practitioner should be aware of in the topic of federated learning. This paper aims to lay out existing research and list the possibilities of federated learning for healthcare industries.",2022-11-15,10.1145/3533708,http://arxiv.org/abs/2211.07893v2,arxiv
